featurizer_id,issue_id,response_latency,cost,clear_isolated_cause,complex_data_formats,component_interactions,config_special_chars,cross_platform,database_specific,encoding_i18n,environment_dependent,localized_fix,math_edge_cases,no_deep_implementation,parsing_regex,reproducible,resource_optimization,simple_edge_case,single_component,standard_patterns,type_coercion,undocumented_assumptions
baseline,django__django-11095,4.934715747833252,0.009861,True,False,True,False,False,False,False,False,True,False,True,False,True,False,False,True,True,False,False
baseline,django__django-11099,6.647910833358765,0.010173,True,False,False,False,False,False,False,False,True,False,True,True,True,False,True,True,True,False,False
baseline,django__django-11119,5.540074825286865,0.009861,True,False,False,False,False,False,False,False,True,False,True,False,True,False,True,True,True,False,False
baseline,django__django-11133,5.810518026351929,0.010224,True,False,False,False,True,True,False,True,True,False,True,False,True,False,True,True,True,True,False
baseline,django__django-11138,6.360917091369629,0.012786,True,False,True,False,False,True,False,False,True,False,False,False,True,False,False,False,True,False,True
baseline,django__django-11141,5.457052946090698,0.010143,True,False,False,False,False,False,False,False,True,False,True,False,True,False,True,True,True,False,False
baseline,django__django-11149,5.494922161102295,0.010254,True,False,True,False,False,False,False,False,True,False,True,False,True,False,True,False,True,False,False
baseline,django__django-11163,5.321711778640747,0.009894,True,False,False,False,False,False,False,False,True,False,True,False,True,False,True,True,True,False,False
baseline,django__django-11179,5.2173919677734375,0.00978,True,False,False,False,False,False,False,False,True,False,True,False,True,False,True,True,True,False,False
baseline,django__django-11206,5.3677308559417725,0.010116,True,False,False,False,False,False,False,False,True,True,True,False,True,False,True,True,True,False,False
baseline,django__django-11211,5.742249965667725,0.010419000000000001,True,False,True,False,False,False,False,False,True,False,False,False,True,False,True,False,True,True,True
baseline,django__django-11239,5.730404853820801,0.010593,True,False,False,False,False,True,False,False,True,False,True,False,True,False,True,True,True,False,False
baseline,django__django-11265,5.881749868392944,0.013779,True,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,True
baseline,django__django-11276,5.692083120346069,0.010476,True,False,False,False,False,False,True,False,True,False,True,False,True,True,False,True,True,False,False
baseline,django__django-11292,5.263154983520508,0.009807,True,False,False,False,False,False,False,False,True,False,True,False,True,False,False,True,True,False,False
baseline,django__django-11299,6.134416103363037,0.012366,True,False,False,False,True,True,False,False,True,False,False,False,True,False,False,True,True,False,False
baseline,django__django-11333,5.99199914932251,0.010686000000000001,True,False,True,False,False,False,False,False,True,False,False,False,True,True,True,False,True,False,True
baseline,django__django-11400,5.497384309768677,0.010209,True,False,True,False,False,False,False,False,True,False,False,False,True,False,True,False,True,False,True
baseline,django__django-11433,5.401609897613525,0.010038,True,False,True,False,False,False,False,False,True,False,False,False,True,False,True,False,True,False,True
baseline,django__django-11451,6.113391876220703,0.011154,True,False,True,False,False,False,False,False,True,False,True,False,True,True,True,True,True,False,False
baseline,django__django-11477,5.47871994972229,0.009717,True,False,False,False,False,False,False,False,True,False,True,True,True,False,True,True,True,False,False
baseline,django__django-11490,5.2939770221710205,0.010047,True,False,True,False,False,True,False,False,True,False,False,False,True,False,True,False,True,False,True
baseline,django__django-11532,5.936083078384399,0.012183,True,False,False,False,False,False,True,False,True,False,True,False,True,False,True,True,True,False,False
baseline,django__django-11551,6.139945983886719,0.014190000000000001,True,False,True,False,False,False,False,False,True,False,False,False,True,False,True,True,True,False,True
baseline,django__django-11555,5.468807220458984,0.010119,True,False,True,False,False,False,False,True,True,False,False,False,True,False,False,False,True,True,True
baseline,django__django-11603,4.867003917694092,0.009837,True,False,False,False,False,True,False,False,True,False,True,False,True,False,True,True,True,False,False
baseline,django__django-11728,5.22647500038147,0.009966,True,False,False,False,False,False,False,False,True,False,True,True,True,False,True,True,True,False,False
baseline,django__django-11734,5.845263719558716,0.010433999999999999,True,False,True,False,False,True,False,False,True,False,False,False,True,False,False,False,True,False,True
baseline,django__django-11740,5.823393106460571,0.011391,True,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,True
baseline,django__django-11749,5.824969053268433,0.010593,True,False,True,False,False,False,False,False,True,False,False,False,True,False,True,False,True,False,True
baseline,django__django-11790,6.041603088378906,0.010008,True,False,False,False,False,False,False,False,True,False,True,False,True,False,True,True,True,False,False
baseline,django__django-11815,5.938368082046509,0.010821,True,False,True,False,False,False,True,False,True,False,True,False,True,False,True,False,True,True,False
baseline,django__django-11820,5.2160351276397705,0.009915,True,False,True,False,False,False,False,False,True,False,False,False,True,False,True,False,True,False,True
baseline,django__django-11848,5.645890712738037,0.010100999999999999,True,False,False,False,False,False,False,False,True,False,True,False,True,False,True,True,True,False,False
baseline,django__django-11880,5.516973972320557,0.010419000000000001,True,False,False,False,False,False,False,False,True,False,True,False,True,False,True,True,True,False,False
baseline,django__django-11885,6.036810874938965,0.01059,True,False,True,False,False,True,False,False,True,False,False,False,True,True,False,False,False,False,True
baseline,django__django-11951,5.118437051773071,0.010137,True,False,False,False,False,True,False,False,True,False,True,False,True,True,True,True,True,False,False
baseline,django__django-11964,6.2431371212005615,0.011601,True,False,False,False,False,True,False,False,True,False,True,False,True,False,True,True,True,True,False
baseline,django__django-11999,5.570702791213989,0.010098,True,False,False,False,True,False,False,True,True,False,False,False,True,False,False,True,True,False,True
baseline,django__django-12039,5.790443181991577,0.010623,True,False,False,True,False,True,False,False,True,False,True,False,True,False,True,True,True,False,False
baseline,django__django-12050,5.181775093078613,0.009804,True,False,False,False,False,False,False,False,True,False,True,False,True,False,True,True,True,True,False
baseline,django__django-12125,5.869404077529907,0.010977,True,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True
baseline,django__django-12143,6.036052227020264,0.010797000000000001,True,False,False,True,False,False,False,False,True,False,True,True,True,False,True,True,True,False,False
baseline,django__django-12155,5.308495759963989,0.010211999999999999,True,False,False,False,False,False,False,False,True,False,True,True,True,False,True,True,True,False,False
baseline,django__django-12193,5.134860038757324,0.010128,True,False,True,False,False,False,False,False,True,False,True,False,True,False,True,False,True,False,False
baseline,django__django-12209,5.70861291885376,0.010509000000000001,True,False,True,False,False,True,False,False,True,False,False,False,True,False,False,False,True,False,True
baseline,django__django-12262,5.412181854248047,0.010338,True,False,False,False,False,False,False,False,True,False,True,False,True,False,True,True,True,False,False
baseline,django__django-12273,5.758426904678345,0.010464000000000001,True,False,True,False,False,True,False,False,True,False,False,False,True,False,True,False,True,False,True
baseline,django__django-12276,5.679588079452515,0.010077,True,False,False,False,False,False,False,False,True,False,True,False,True,False,True,True,True,False,False
baseline,django__django-12304,5.063025712966919,0.010014,True,False,True,False,False,False,False,False,True,False,True,False,True,False,True,False,True,False,False
baseline,django__django-12308,5.385960340499878,0.009909000000000001,True,True,False,False,False,False,False,False,True,False,True,False,True,False,True,True,True,False,False
baseline,django__django-12325,5.778984069824219,0.010326,True,False,True,False,False,False,False,False,True,False,False,False,True,False,True,True,True,False,True
baseline,django__django-12406,5.662115812301636,0.010548,True,False,True,False,False,False,False,False,True,False,True,False,True,False,True,False,True,False,False
baseline,django__django-12419,5.369246006011963,0.010121999999999999,True,False,False,False,False,False,False,False,True,False,True,False,True,False,False,True,True,False,False
baseline,django__django-12663,6.6695780754089355,0.012539999999999999,True,False,True,False,False,False,False,False,True,False,False,False,True,False,True,False,True,True,True
baseline,django__django-12708,5.530221939086914,0.010322999999999999,True,False,True,False,False,True,False,False,True,False,False,False,True,False,False,False,True,False,True
baseline,django__django-12713,5.0142128467559814,0.009795,True,False,False,False,False,False,False,False,True,False,True,False,True,False,True,True,True,False,False
baseline,django__django-12741,5.198925018310547,0.009894,True,False,False,False,False,False,False,False,True,False,True,False,True,False,False,True,True,False,False
baseline,django__django-12754,5.4487011432647705,0.010248,True,False,True,False,False,False,False,False,True,False,False,False,True,False,True,False,True,False,True
baseline,django__django-12774,5.625588893890381,0.010668,True,False,False,False,False,False,False,False,True,False,True,False,True,False,True,True,True,False,False
baseline,django__django-12858,5.726873874664307,0.010317,True,False,True,False,False,False,False,False,True,False,False,False,True,False,True,False,True,False,True
baseline,django__django-12965,6.142174005508423,0.011892,True,False,True,False,True,True,False,True,True,False,False,False,True,True,False,False,True,False,True
baseline,django__django-13012,5.749809741973877,0.010812,True,False,True,False,False,True,False,False,True,False,False,False,True,False,True,False,True,False,True
baseline,django__django-13023,5.9871251583099365,0.009942,True,False,False,False,False,False,False,False,True,False,True,False,True,False,True,True,True,True,False
baseline,django__django-13028,6.7929370403289795,0.012435,True,False,False,False,False,False,False,False,True,False,True,False,True,False,True,True,True,False,False
baseline,django__django-13033,6.038602113723755,0.013377,True,False,True,False,False,True,False,False,True,False,False,False,True,False,False,False,True,False,True
baseline,django__django-13089,6.7583301067352295,0.011181,True,False,False,False,False,True,False,True,True,False,True,False,False,False,True,True,True,False,False
baseline,django__django-13109,6.033954858779907,0.011094,True,False,True,False,False,False,False,False,True,False,False,False,True,False,True,False,True,False,True
baseline,django__django-13112,6.5516579151153564,0.011526,True,False,True,False,True,False,False,True,True,False,True,False,True,False,True,False,True,False,True
baseline,django__django-13121,6.338598251342773,0.010746,True,False,True,False,True,True,False,True,True,False,False,False,True,False,False,False,True,True,True
baseline,django__django-13128,4.9892706871032715,0.009921,True,False,False,False,False,True,False,False,True,False,True,False,True,False,True,True,True,True,False
baseline,django__django-13158,5.762943983078003,0.010557,True,False,True,False,False,False,False,False,True,False,False,False,True,False,True,False,True,False,True
baseline,django__django-13195,6.867021083831787,0.011529000000000001,True,False,False,False,True,False,False,False,True,False,True,False,True,False,True,True,True,False,False
baseline,django__django-13212,5.21124792098999,0.009894,True,False,False,False,False,False,False,False,True,False,True,False,True,False,True,True,True,False,False
baseline,django__django-13279,5.223684072494507,0.009951,True,False,True,False,False,False,False,False,True,False,False,False,True,False,False,True,True,False,True
baseline,django__django-13297,6.244676828384399,0.010929000000000001,True,False,True,False,False,True,False,True,True,False,True,False,True,False,True,False,True,True,True
baseline,django__django-13315,5.482457160949707,0.00978,True,False,True,False,False,True,False,False,True,False,False,False,True,False,True,False,True,False,False
baseline,django__django-13343,5.873394966125488,0.010392,True,False,True,False,False,False,False,False,True,False,False,False,True,False,True,True,True,False,False
baseline,django__django-13344,5.734620809555054,0.010683,True,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,True
baseline,django__django-13346,5.235947132110596,0.010098,True,False,False,False,True,True,False,True,True,False,False,False,True,False,False,True,True,False,True
baseline,django__django-13363,6.005744934082031,0.010998,True,False,False,False,False,False,True,False,True,False,True,False,True,False,True,True,True,False,False
baseline,django__django-13401,5.814706802368164,0.010530000000000001,True,False,True,False,False,False,False,False,True,False,False,False,True,False,True,False,True,False,True
baseline,django__django-13406,6.715512752532959,0.012555,True,False,True,False,False,False,False,False,True,False,False,False,True,False,True,False,True,True,True
baseline,django__django-13410,5.806767702102661,0.010824,True,False,False,False,True,False,False,False,True,False,True,False,True,False,True,True,True,False,False
baseline,django__django-13417,5.737174034118652,0.010449,True,False,True,False,False,True,False,False,True,False,False,False,True,False,False,False,True,False,True
baseline,django__django-13449,6.240067005157471,0.016278,True,False,True,False,False,True,False,True,True,False,True,False,True,False,True,False,True,True,False
baseline,django__django-13512,5.016413927078247,0.009966,True,True,False,False,False,False,True,False,True,False,True,False,True,False,True,True,True,False,False
baseline,django__django-13513,5.732124090194702,0.010599,True,False,False,False,False,False,False,False,True,False,True,False,True,False,True,True,True,False,False
baseline,django__django-13516,5.759292840957642,0.01005,True,False,True,False,False,False,False,False,True,False,True,False,True,False,True,False,True,False,False
baseline,django__django-13551,5.394790887832642,0.009989999999999999,True,False,True,False,False,False,False,False,True,False,True,False,True,False,True,False,True,False,False
baseline,django__django-13568,5.461483955383301,0.010185,True,False,True,False,False,True,False,False,True,False,False,False,True,True,True,False,True,False,True
baseline,django__django-13569,6.511899948120117,0.011457,True,False,True,False,False,True,False,False,True,False,False,False,True,False,True,False,True,False,True
baseline,django__django-13590,5.358989000320435,0.010236,True,False,True,False,False,False,False,False,True,False,False,False,True,False,True,True,True,True,False
baseline,django__django-13658,5.901077032089233,0.010676999999999999,True,False,False,False,False,False,False,True,True,False,True,False,True,False,True,True,True,False,False
baseline,django__django-13670,5.769418954849243,0.010326,True,False,False,False,False,False,False,False,True,False,True,False,True,False,True,True,True,False,False
baseline,django__django-13741,5.389545202255249,0.010269,True,False,False,False,False,False,False,False,True,False,True,False,True,False,True,True,True,False,False
baseline,django__django-13786,5.5340118408203125,0.010092,True,False,True,False,False,False,False,False,True,False,False,False,True,False,True,False,True,False,True
baseline,django__django-13794,4.886069059371948,0.009762,True,False,False,False,False,False,False,False,True,False,True,False,True,False,True,True,True,True,False
baseline,django__django-13807,6.041885852813721,0.010914,True,False,False,True,False,True,False,False,True,False,True,False,True,False,True,True,True,False,False
baseline,django__django-13809,4.90723991394043,0.009909000000000001,True,False,False,False,False,False,False,False,True,False,True,False,True,False,False,True,True,False,False
baseline,django__django-13810,6.237545967102051,0.011175000000000001,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True
baseline,django__django-13820,7.583378076553345,0.011007,True,False,True,False,True,False,False,True,True,False,False,False,True,False,True,True,True,False,False
baseline,django__django-13821,5.501928329467773,0.010092,True,False,False,False,False,True,False,False,True,False,True,False,True,False,False,True,True,False,False
baseline,django__django-13837,6.252885103225708,0.010806,True,False,False,False,True,False,False,True,True,False,True,False,True,False,True,True,True,False,False
baseline,django__django-13925,6.4538490772247314,0.013026,True,False,False,False,False,False,False,False,True,False,True,False,True,False,True,True,True,False,False
baseline,django__django-13933,5.522861957550049,0.010581,True,False,False,False,False,False,False,False,True,False,True,False,True,False,True,True,True,False,False
baseline,django__django-13964,6.035250902175903,0.010986,True,False,True,False,False,True,False,False,True,False,False,False,True,False,True,False,True,False,True
baseline,django__django-14007,5.831074953079224,0.010608,True,False,True,False,False,True,False,False,True,False,False,False,True,False,False,False,True,True,True
baseline,django__django-14011,6.343294382095337,0.011013,True,False,True,False,False,True,False,True,True,False,False,False,False,True,False,False,True,False,True
baseline,django__django-14017,6.0862438678741455,0.010911,True,False,True,False,False,False,False,False,True,False,True,False,True,False,True,False,True,True,False
baseline,django__django-14034,6.19569206237793,0.010707000000000001,True,False,True,False,False,False,False,False,True,False,True,False,True,False,True,True,True,False,False
baseline,django__django-14053,6.208211183547974,0.012225,True,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,True
baseline,django__django-14089,5.6672492027282715,0.009804,True,False,False,False,False,False,False,False,True,False,True,False,True,False,False,True,True,False,False
baseline,django__django-14122,5.2144060134887695,0.009975000000000001,True,False,True,False,False,True,False,False,True,False,False,False,True,False,True,False,True,False,True
baseline,django__django-14140,5.837116241455078,0.010610999999999999,True,False,True,False,False,False,False,False,True,False,False,False,True,False,True,True,True,True,True
baseline,django__django-14155,5.179916143417358,0.009957,True,False,False,False,False,False,False,False,True,False,True,False,True,False,True,True,True,False,False
baseline,django__django-14170,5.787400007247925,0.011112,True,False,True,False,False,True,False,False,True,False,False,False,True,False,True,False,True,False,True
baseline,django__django-14238,6.354766130447388,0.012222,True,False,True,False,False,False,False,False,True,False,True,False,True,False,True,True,True,False,False
baseline,django__django-14311,5.094599962234497,0.010146,True,False,True,False,False,False,False,False,True,False,False,True,True,False,True,True,True,False,False
baseline,django__django-14315,5.244675159454346,0.010086000000000001,True,False,True,False,False,True,False,True,True,False,True,False,True,False,True,True,True,True,False
baseline,django__django-14349,5.908875226974487,0.011682000000000001,True,False,False,False,True,False,False,True,True,False,True,True,True,False,True,True,True,False,False
baseline,django__django-14351,6.620296955108643,0.018852,True,False,True,False,False,True,False,True,True,False,False,False,True,False,False,False,False,False,True
baseline,django__django-14373,5.560916900634766,0.00975,True,False,False,False,False,False,True,False,True,False,True,False,True,False,True,True,True,False,False
baseline,django__django-14376,5.695517301559448,0.010404,True,False,False,False,False,True,False,False,True,False,True,False,True,False,False,True,True,False,False
baseline,django__django-14404,5.140345811843872,0.009861,True,False,True,False,False,False,False,False,True,False,True,False,True,False,True,True,True,False,False
baseline,django__django-14434,4.86138129234314,0.009693,True,False,False,False,False,True,False,False,True,False,True,False,True,False,True,True,True,True,False
baseline,django__django-14493,6.208663702011108,0.010938,True,False,False,False,False,False,False,False,True,False,True,False,True,False,True,True,True,False,False
baseline,django__django-14500,4.662990093231201,0.009801,True,False,True,False,False,False,False,False,True,False,False,False,True,False,True,False,True,False,True
baseline,django__django-14534,6.151101350784302,0.010992,True,False,True,False,False,False,False,False,True,False,False,False,True,False,True,False,True,False,True
baseline,django__django-14539,5.349208116531372,0.009936,True,False,False,False,False,False,False,False,True,False,True,True,True,False,True,True,True,False,False
baseline,django__django-14559,4.837375164031982,0.009981,True,False,False,False,False,False,False,False,True,False,True,False,True,False,False,True,True,False,False
baseline,django__django-14580,6.836471796035767,0.010974000000000001,True,False,True,False,False,False,False,False,True,False,True,False,True,False,True,False,True,False,False
baseline,django__django-14608,5.526317119598389,0.009999000000000001,True,False,False,False,False,False,False,False,True,False,True,False,True,False,True,True,True,False,False
baseline,django__django-14631,6.244937896728516,0.010599,True,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,True
baseline,django__django-14672,6.551954030990601,0.016614,True,False,True,False,False,False,False,False,True,False,True,False,True,False,True,True,True,True,False
baseline,django__django-14725,5.254641056060791,0.009825,True,False,True,False,False,False,False,False,True,False,True,False,True,False,True,True,True,False,False
baseline,django__django-14752,6.740677118301392,0.011982,True,True,False,False,False,False,False,False,True,False,True,False,True,False,False,True,True,False,False
baseline,django__django-14765,5.7049829959869385,0.009984,True,False,False,False,False,False,False,False,True,False,True,False,True,False,True,True,True,True,False
baseline,django__django-14771,5.835466146469116,0.010698,True,False,True,False,True,False,True,True,True,False,True,False,True,False,True,True,True,False,False
baseline,django__django-14787,5.387624979019165,0.010194,True,False,True,False,False,False,False,False,True,False,True,False,True,False,True,False,True,False,False
baseline,django__django-14792,6.0832953453063965,0.011037,True,False,True,False,False,True,False,False,True,False,False,False,True,False,True,False,True,False,True
baseline,django__django-14855,5.496186017990112,0.01035,True,False,True,False,False,False,False,False,True,False,False,False,True,False,True,False,True,False,False
baseline,django__django-14915,5.901997804641724,0.010467,True,False,False,False,False,False,False,False,True,False,True,False,True,False,True,True,True,True,False
baseline,django__django-14999,6.205937147140503,0.009771,True,False,True,False,True,True,False,True,True,False,False,False,True,False,False,False,False,False,True
baseline,django__django-15022,6.07243800163269,0.01068,True,False,True,False,False,True,False,False,True,False,False,False,True,True,False,False,True,False,True
baseline,django__django-15037,5.359261989593506,0.010005,True,False,True,False,False,True,False,False,True,False,False,False,True,False,True,False,True,False,True
baseline,django__django-15098,6.288388013839722,0.012282000000000001,True,False,False,False,False,False,True,False,True,False,True,True,True,False,True,True,True,False,False
baseline,django__django-15103,4.894552707672119,0.009852,True,True,False,False,False,False,False,False,True,False,True,False,True,False,True,True,True,False,False
baseline,django__django-15104,6.245520114898682,0.013763999999999998,True,False,True,False,False,False,False,False,True,False,True,False,True,False,True,False,True,False,True
baseline,django__django-15127,5.3218770027160645,0.009777000000000001,True,False,True,False,False,False,False,False,True,False,False,False,True,False,True,True,True,False,True
baseline,django__django-15128,6.347151279449463,0.012069,True,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,True
baseline,django__django-15161,5.218748092651367,0.009933,True,False,True,False,False,False,False,False,True,False,True,False,True,False,False,True,True,False,False
baseline,django__django-15252,6.090229749679565,0.010797000000000001,True,False,True,False,False,True,False,False,True,False,False,False,True,False,True,False,True,False,True
baseline,django__django-15268,5.859407186508179,0.010853999999999999,True,False,False,False,False,False,False,False,True,False,True,False,True,True,True,True,True,False,False
baseline,django__django-15277,6.066428184509277,0.012029999999999999,True,False,False,False,False,False,False,False,True,False,True,False,True,True,True,True,True,False,False
baseline,django__django-15278,6.437685012817383,0.010716,True,False,True,False,False,True,False,True,True,False,False,False,True,False,True,False,True,False,True
baseline,django__django-15280,6.3604302406311035,0.011862000000000001,True,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,True
baseline,django__django-15315,5.718997955322266,0.010203,True,False,True,False,False,False,False,False,True,False,False,False,True,False,True,True,True,False,True
baseline,django__django-15368,5.6114819049835205,0.010766999999999999,True,False,False,False,False,False,False,False,True,False,True,False,True,False,True,True,True,True,False
baseline,django__django-15375,6.37614107131958,0.011268,True,False,True,False,False,True,False,False,True,False,False,False,True,False,False,False,True,False,True
baseline,django__django-15380,6.136219024658203,0.011163,True,False,True,False,False,False,False,False,True,False,False,False,True,False,True,False,True,False,False
baseline,django__django-15382,5.632081985473633,0.009936,True,False,True,False,False,True,False,False,True,False,False,False,True,False,True,False,True,False,True
baseline,django__django-15467,5.390787839889526,0.010284,True,False,True,False,False,False,False,False,True,False,True,False,True,False,True,True,True,False,False
baseline,django__django-15499,4.942673921585083,0.009738,True,False,True,False,False,False,False,False,True,False,False,False,True,True,False,False,True,False,True
baseline,django__django-15503,6.298579931259155,0.011499,True,True,False,False,True,True,False,True,True,False,False,True,True,False,True,True,True,True,False
baseline,django__django-15525,6.842505931854248,0.014172,True,False,True,False,False,True,False,True,True,False,False,False,True,False,False,False,True,False,True
baseline,django__django-15554,6.001915216445923,0.010721999999999999,True,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True
baseline,django__django-15561,5.329030990600586,0.00981,True,False,True,False,True,True,False,True,True,False,False,False,True,False,False,False,False,False,True
baseline,django__django-15563,6.005160093307495,0.011376,True,False,True,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,True
baseline,django__django-15569,5.857990026473999,0.010155,True,False,False,False,False,False,False,False,True,False,True,False,True,False,True,True,True,False,False
baseline,django__django-15572,5.750346899032593,0.010794,True,False,True,False,True,False,False,True,True,False,True,False,True,False,True,True,True,False,False
baseline,django__django-15629,6.3285932540893555,0.011886,True,False,True,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False
baseline,django__django-15695,6.0223002433776855,0.010692,True,False,True,False,True,True,False,True,True,False,False,False,True,False,True,False,True,False,True
baseline,django__django-15731,6.025629758834839,0.010476,True,False,False,False,False,False,False,False,True,False,True,False,True,False,False,True,True,False,False
baseline,django__django-15732,5.300791025161743,0.010055999999999999,True,False,False,False,False,True,False,False,True,False,True,False,True,False,True,True,True,False,False
baseline,django__django-15741,5.2529919147491455,0.009861,True,False,False,False,False,False,True,False,True,False,True,False,True,False,True,True,True,True,False
baseline,django__django-15814,6.513036012649536,0.012381,True,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,True
baseline,django__django-15851,5.483153343200684,0.010071,True,False,False,True,False,True,False,False,True,False,True,False,True,False,True,True,True,False,False
baseline,django__django-15863,5.935060024261475,0.010251,True,False,False,False,False,False,False,False,True,True,True,False,True,False,True,True,True,True,False
baseline,django__django-15916,5.9770050048828125,0.010898999999999999,True,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,True
baseline,django__django-15930,5.686599969863892,0.010232999999999999,True,False,False,False,False,True,False,False,True,False,True,False,True,False,True,True,True,False,False
baseline,django__django-15957,5.254240036010742,0.010218,True,False,True,False,False,True,False,False,True,False,False,False,True,True,False,False,True,False,True
baseline,django__django-15973,7.239130020141602,0.015177,True,False,True,False,False,False,False,False,True,False,True,False,True,False,True,False,True,True,False
baseline,django__django-15987,4.807888031005859,0.009687,True,False,False,False,False,False,False,False,True,False,True,False,True,False,True,True,True,True,False
baseline,django__django-16032,5.632973670959473,0.010398000000000001,True,False,True,False,False,True,False,False,True,False,False,False,True,False,False,False,True,False,True
